"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Phnom Penh","","Cambodia","71","71","","","Source 1",NA,NA,"Phnom Penh, Cambodia","Phnom Penh, Cambodia",NA,NA,"https://twitter.com/TheresadeLangis/status/823804709278515200"
"Playa Del Carmen","","Mexico","95","110","","","Source 1 :  organizer via google form with headcount confirmed by photo",NA,NA,"Playa Del Carmen, Mexico","Playa Del Carmen, Mexico",NA,NA,NA
"Portillo","","Chile","2","2","","","Source 1 :  Eyewitness on site",NA,NA,"Portillo, Chile","Portillo, Chile",NA,NA,NA
"Porto","","Portugal","","","","","Source 1 :  Eyewitness on site",NA,NA,"Porto, Portugal","Porto, Portugal",NA,NA,NA
"Prague","","Czech","500","700","","","Source 1 :  organizer","Source 2",NA,"Prague, Czech","Prague, Czech",NA,"http://www.hollywoodreporter.com/news/womens-march-overseas-demonstrations-occur-conjunction-dc-sundance-protests-966955",NA
"Prince George","","Canada","100","100","","","Source 1",NA,NA,"Prince George, Canada","Prince George, Canada",NA,NA,"http://www.ckpg.com/2017/01/21/large-turnout-for-womens-rights-march/"
"Pristina","","Kosovo","300","500","","","Source 1",NA,NA,"Pristina, Kosovo","Pristina, Kosovo",NA,NA,"http://www.hollywoodreporter.com/news/womens-march-overseas-demonstrations-occur-conjunction-dc-sundance-protests-966955"
"Puerto Vallarta","","Mexico","400","500","","","Source 1 :  Eyewitnesses onsite",NA,NA,"Puerto Vallarta, Mexico","Puerto Vallarta, Mexico",NA,NA,NA
"Quebec City","","Canada","","","","10","Source 1 :  FB",NA,NA,"Quebec City, Canada","Quebec City, Canada",NA,NA,NA
"Quito","","Ecuador","20","50","","","Source 1 :  FB",NA,NA,"Quito, Ecuador","Quito, Ecuador",NA,NA,NA
"Rabat","","Morocco","23","28","","","Source 1 :  eyewitness onsite (also picture)",NA,NA,"Rabat, Morocco","Rabat, Morocco",NA,NA,NA
"Revelstoke","","Canada","70","70","","","Source 1",NA,NA,"Revelstoke, Canada","Revelstoke, Canada",NA,NA,"http://www.newslocker.com/en-ca/region/revelstoke/revelstoke-shows-solidarity-for-womens-rights-revelstoke-mountaineer/view/"
"Reykjavik","","Iceland","200","400","","","Source 1","Source 2 :  FB",NA,"Reykjavik, Iceland","Reykjavik, Iceland",NA,NA,"https://twitter.com/MattysCrazyMind/status/823036079641137152"
"Riga","","Latvia","200","200","","","Source 1",NA,NA,"Riga, Latvia","Riga, Latvia",NA,NA,"http://www.lsm.lv/en/article/politics/women-march-against-trump-in-riga.a220203/"
"Rio de Janeiro","","Brazil","40","40","","","Source 1 :  FB",NA,NA,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",NA,NA,NA
"Riva Views","","Bahrain","20","20","","","Source 1 :  eyewitness",NA,NA,"Riva Views, Bahrain","Riva Views, Bahrain",NA,NA,NA
"Roermond","","Netherlands","","","","","Source 1",NA,NA,"Roermond, Netherlands","Roermond, Netherlands",NA,NA,"http://www.parool.nl/amsterdam/duizenden-bij-protestactie-women-s-march-in-amsterdam~a4451698/"
"Rome","","Italy","300","300","","","Source 1 :  FB",NA,NA,"Rome, Italy","Rome, Italy",NA,NA,NA
"Salmon Arm","","Canada","30","30","","","Source 1",NA,NA,"Salmon Arm, Canada","Salmon Arm, Canada",NA,NA,"http://www.saobserver.net/news/411429915.html"
"Salt Spring Island","","Canada","500","600","","","Source 1",NA,NA,"Salt Spring Island, Canada","Salt Spring Island, Canada",NA,NA,"http://saltspringexchange.com/2017/01/21/video-photos-womens-march-on-salt-spring-island/"
"San Jose","","Costa Rica","","","","",NA,NA,NA,"San Jose, Costa Rica","San Jose, Costa Rica",NA,NA,NA
"San Miguel de Allende","","Mexico","2,000","2,000","","","Source 1 :  FB",NA,NA,"San Miguel de Allende, Mexico","San Miguel de Allende, Mexico",NA,NA,NA
"San Pancho (San Francisco)","","Mexico","1,000","1,500","","","Source 1","Source 2 :  Eyewitnesses on site",NA,"San Pancho (San Francisco), Mexico","San Pancho (San Francisco), Mexico",NA,NA,"http://www.noticiaspv.com/mujeres-de-bahia-de-banderas-marcharon-contra-violencia-de-genero/"
"Sandy Cove","","Canada","15","15","","","Source 1",NA,NA,"Sandy Cove, Canada","Sandy Cove, Canada",NA,NA,"http://www.cbc.ca/news/canada/nova-scotia/women-s-march-on-washington-sandy-cove-digby-neck-donald-trump-1.2899568"
"Santiago","","Chile","50","60","","","Source 1",NA,NA,"Santiago, Chile","Santiago, Chile",NA,NA,"https://twitter.com/astrophysically/status/823181148834721793"
"Saskatoon","","Canada","800","1,000","","","Source 1","Source 2",NA,"Saskatoon, Canada","Saskatoon, Canada",NA,"https://twitter.com/m_cvb/status/823075431196700673","http://thestarphoenix.com/storyline/hundreds-marched-in-downtown-saskatoon-in-support-of-womens-rights-and-against-donald-trump"
"Seoul","","South Korea","1,000","2,000","","","Source 1 :  FB","Source 2",NA,"Seoul, South Korea","Seoul, South Korea",NA,"https://www.koreatimes.co.kr/www/news/nation/2017/01/120_222517.html",NA
"Seyðisfjörður","","Iceland","5","5","","","Source 1 :  Eyewitness account",NA,NA,"Seyðisfjörður, Iceland","Seyðisfjörður, Iceland",NA,NA,NA
"Shipley","","United Kingdom","1,400","1,500","","","Source 1","Source 2",NA,"Shipley, United Kingdom","Shipley, United Kingdom",NA,"http://www.thetelegraphandargus.co.uk/news/15039406.VIDEO__Crowd_of_1_500_people_take_part_in_women_s_march_in_Shipley/","https://twitter.com/chickpeajones/status/822794953252282368"
"Singapore","","Singapore","50","50","","","Source 1 :  Eyewitness account",NA,NA,"Singapore, Singapore","Singapore, Singapore",NA,NA,NA
"Sligo","","Ireland","15","20","","","Source 1 :  FB; photographic evidence",NA,NA,"Sligo, Ireland","Sligo, Ireland",NA,NA,NA
"Sointula","","Canada","25","35","","","Source 1 :  Eyewitness on site; photographic evidence",NA,NA,"Sointula, Canada","Sointula, Canada",NA,NA,NA
"Songdo","","South Korea","25","25","","","Source 1",NA,NA,"Songdo, South Korea","Songdo, South Korea",NA,NA,"https://twitter.com/jodikittle/status/823105077095251970"
"Southampton","","United Kingdom","100","250","","","Source 1","Source 2",NA,"Southampton, United Kingdom","Southampton, United Kingdom",NA,"http://www.itv.com/news/meridian/update/2017-01-21/hundreds-of-women-join-anti-trump-march-in-southampton/","https://sonarmagazine.wordpress.com/2017/01/24/in-the-wake-of-donald-trumps-inauguration-southampton-held-its-own-womens-march-in-protest/"
"Squirrel Camp/Kloo Lake","","Canada","8","8","","","Source 1",NA,NA,"Squirrel Camp/Kloo Lake, Canada","Squirrel Camp/Kloo Lake, Canada",NA,NA,"https://twitter.com/akmenzies/status/822842014605524992"
"St. Austell","","United Kingdom","100","100","","","Source 1",NA,NA,"St. Austell, United Kingdom","St. Austell, United Kingdom",NA,NA,"http://www.cornwalllive.com/women-in-cornwall-join-trump-protest-march/story-30076330-detail/story.html"
"St. Catherine's","","Canada","200","200","","","Source 1",NA,NA,"St. Catherine's, Canada","St. Catherine's, Canada",NA,NA,"http://www.stcatharinesstandard.ca/2017/01/21/niagara-women-march-against-trump"
"St. John's","","Canada","575","575","","","Source 1",NA,NA,"St. John's, Canada","St. John's, Canada",NA,NA,"https://www.facebook.com/events/1430829900277852/"
"Stavanger","","Norway","8","20","","","Source 1 :  FB","Source 2 :  Eyewitness onsite",NA,"Stavanger, Norway","Stavanger, Norway",NA,NA,NA
"Stockholm","","Sweden","1,000","4,000","","","Source 1 :  Svenska Dagbladet","Source 2",NA,"Stockholm, Sweden","Stockholm, Sweden",NA,"http://www.thelocal.se/20170123/video-thousands-participate-in-stockholm-womens-march",NA
"Strasbourg","","France","400","580","","","Source 1","Source 2",NA,"Strasbourg, France","Strasbourg, France",NA,"https://www.facebook.com/events/157018541441672/?active_tab=discussion","http://www.dna.fr/search?q=women%27s+march&x=1&y=1"
"Stratford","","Canada","100","100","","","Source 1 :  FB",NA,NA,"Stratford, Canada","Stratford, Canada",NA,NA,NA
"Sutton","","Canada","80","100","","","Source 1",NA,NA,"Sutton, Canada","Sutton, Canada",NA,NA,"http://www.journalleguide.com/communaute/2017/1/21/une-centaine-de-participants-a-la-marche-des-femmes-a-sutton-.html"
"Suva","","Fiji","8","8","","","Source 1 :  FB photo confirming headcount",NA,NA,"Suva, Fiji","Suva, Fiji",NA,NA,NA
"Sydney","","Australia","5,000","10,000","","","Source 1","Source 2",NA,"Sydney, Australia","Sydney, Australia",NA,"http://www.usatoday.com/story/news/2017/01/21/millions-turn-out-worldwide-solidarity-washington-womens-march/96880344/","https://www.theguardian.com/australia-news/2017/jan/21/donald-trump-sydney-womens-march-protest-thousand-turn-out"
"Tblisi","","Georgia","300","300","","","Source 1",NA,NA,"Tblisi, Georgia","Tblisi, Georgia",NA,NA,"http://dfwatch.net/tbilisi-joins-global-womens-march-against-trump-47377"
"Tel Aviv","","Israel","300","500","","","Source 1 :  on site report with crowd-counting via flyer distribution","Source 2",NA,"Tel Aviv, Israel","Tel Aviv, Israel",NA,"https://twitter.com/melanielidman/status/822873710726148097",NA
