"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Lima","","Peru","30","40","","","Source 1",NA,NA,"Lima, Peru","Lima, Peru",NA,NA,"https://twitter.com/DickieWallace/status/823714930499211269"
"Lisbon","","Portugal","100","765","","","Source 1","Source 2",NA,"Lisbon, Portugal","Lisbon, Portugal",NA,"https://www.facebook.com/events/1829222877366815/","http://www.dn.pt/portugal/interior/marcha-das-mulheres-contra-trump-junta-mais-de-100-em-lisboa-5620144.html"
"Liverpool","","United Kingdom","1,000","1,000","","","Source 1",NA,NA,"Liverpool, United Kingdom","Liverpool, United Kingdom",NA,NA,"http://www.liverpoolecho.co.uk/news/liverpool-news/liverpool-womens-march-sees-hundreds-12487584"
"London","","Canada","500","1,400","","","Source 1","Source 2","Source 3","London, Canada","London, Canada","http://www.lfpress.com/2017/01/21/london-demonstration-hundreds-attend-womens-rights-rally-in-victoria-park","http://london.ctvnews.ca/mobile/big-turnout-for-women-s-march-in-downtown-london-1.3251339","https://twitter.com/MatthewPeloza/status/823039988455669760"
"London","","United Kingdom","100,000","100,000","","","Source 1 :  The Independent",NA,NA,"London, United Kingdom","London, United Kingdom",NA,NA,NA
"Lusaka","","Zambia","140","140","","","Source 1",NA,NA,"Lusaka, Zambia","Lusaka, Zambia",NA,NA,"https://twitter.com/ZamWomenMarch/status/823124089950846976"
"Lyon","","France","267","267","","","Source 1 :  FB",NA,"Source 3","Lyon, France","Lyon, France","http://france3-regions.francetvinfo.fr/rhone-alpes/lyon-metropole/grand-lyon/lyon/centaines-manifestants-lyon-women-march-1180069.html",NA,NA
"Maadi Degla","","Egypt","4","4","","","Source 1",NA,NA,"Maadi Degla, Egypt","Maadi Degla, Egypt",NA,NA,"https://twitter.com/ABHodgkins/status/823081344574115840"
"Madrid","","Spain","500","500","","","Source 1",NA,NA,"Madrid, Spain","Madrid, Spain",NA,NA,"http://www.eldiario.es/sociedad/estadounidenses-Madrid-unen-protestas-Trump_0_603690602.html"
"Managua","","Nicaragua","","","","","Source 1 :  Eyewitness on site",NA,NA,"Managua, Nicaragua","Managua, Nicaragua",NA,NA,NA
"Manchester","","United Kingdom","550","2,000","","","Source 1 :  FB","Source 2",NA,"Manchester, United Kingdom","Manchester, United Kingdom",NA,"http://www.manchestereveningnews.co.uk/news/greater-manchester-news/women-prepare-gathering-manchester-following-12486747",NA
"Manutoulin Island","","Canada","1","1","","","Source 1 :  FB",NA,NA,"Manutoulin Island, Canada","Manutoulin Island, Canada",NA,NA,NA
"Marseilles","","France","","","","",NA,NA,NA,"Marseilles, France","Marseilles, France",NA,NA,NA
"Mazatlan","","Mexico","30","100","","","Source 1 :  FB; onsite eyewitnesses and photographic evidence",NA,NA,"Mazatlan, Mexico","Mazatlan, Mexico",NA,NA,NA
"Melaque","","Mexico","","","","","Source 1",NA,NA,"Melaque, Mexico","Melaque, Mexico",NA,NA,"http://udgtv.com/senal-informativa/jalisco/residentes-y-turistas-estadounidenses-marchan-en-jalisco-contra-trump"
"Melbourne","","Australia","10,000","10,000","","","Source 1 :  FB",NA,NA,"Melbourne, Australia","Melbourne, Australia",NA,NA,NA
"Mexico City","","Mexico","400","500","","","Source 1 :  Organizer headcount via photos","Source 2 :  LA Times","Source 3","Mexico City, Mexico","Mexico City, Mexico","http://www.npr.org/sections/thetwo-way/2017/01/21/510940708/womens-march-on-washington-goes-worldwide-snapshots-from-around-the-globe",NA,NA
"Monrovia","","Liberia","20","20","","","Source 1 :  Eyewitness; counted via sign-in sheet",NA,NA,"Monrovia, Liberia","Monrovia, Liberia",NA,NA,NA
"Montebello","","Canada","9","9","","","Source 1 :  onsite eyewitness who took headcount",NA,NA,"Montebello, Canada","Montebello, Canada",NA,NA,NA
"Monteverde","","Costa Rica","242","275","","","Source 1 :  Eyewitness on site; sign-in sheets and photographic evidence",NA,NA,"Monteverde, Costa Rica","Monteverde, Costa Rica",NA,NA,NA
"Montpellier","","France","500","3,000","","","Source 1","Source 2","Source 3","Montpellier, France","Montpellier, France","https://t.co/dYoxYWZ13q","https://twitter.com/marienoellewurm/status/823147532524154880","http://www.midilibre.fr/2017/01/21/montpellier-la-women-s-march-a-attire-la-foule,1456094.php"
"Montreal","","Canada","5,000","10,000","","","Source 1 :  CBC","Source 2",NA,"Montreal, Canada","Montreal, Canada",NA,"http://www.mcgilldaily.com/2017/01/thousands-protest-trump-in-montreal-womens-march/",NA
"Montverde","","Costa Rica","240","250","","","Source 1",NA,NA,"Montverde, Costa Rica","Montverde, Costa Rica",NA,NA,"https://warmerthancanada.com/2017/01/23/monteverde-sister-march/"
"Moscow","","Russia","7","7","","","Source 1 :  FB with photo for headcount",NA,NA,"Moscow, Russia","Moscow, Russia",NA,NA,NA
"Munich","","Germany","600","2,000","","","Source 1","Source 2 :  Police estimate; submitted via Google Form","Source 3","Munich, Germany","Munich, Germany","https://twitter.com/marionanddaniel/status/823209426530238464 and http://munichnow.com/huge-turnout-for-munichs-womens-march/",NA,"https://www.facebook.com/113387388277/photos/?tab=album&album_id=10155016345223278"
"Mwanza","","Tanzania","19","19","","","Source 1",NA,NA,"Mwanza, Tanzania","Mwanza, Tanzania",NA,NA,"https://twitter.com/LeishLin/status/823058150861455360"
"Nairobi","","Kenya","200","1,000","","","Source 1","Source 2 :  Eyewitnesses on site",NA,"Nairobi, Kenya","Nairobi, Kenya",NA,NA,"http://www.reuters.com/article/us-usa-trump-women-asia-idUSKBN155039"
"Nanaimo","","Canada","1,000","1,000","","","Source 1",NA,NA,"Nanaimo, Canada","Nanaimo, Canada",NA,NA,"http://nanaimonewsnow.com/article/522757/womens-march-nanaimo-leads-massive-turnout"
"Nevis","","St. Kitts & Nevis","30","30","","","Source 1 :  FB",NA,NA,"Nevis, St. Kitts & Nevis","Nevis, St. Kitts & Nevis",NA,NA,NA
"New Delhi","","India","125","125","","","Source 1 :  email",NA,NA,"New Delhi, India","New Delhi, India",NA,NA,NA
"Nice","","France","45","60","","","Source 1 :  Eyewitness on site",NA,NA,"Nice, France","Nice, France",NA,NA,NA
"North West River","","Canada","20","20","","","Source 1",NA,NA,"North West River, Canada","North West River, Canada",NA,NA,"https://twitter.com/amybeatrice/status/822900710949928961"
"Nosara","","Costa Rica","100","100","","","Source 1",NA,NA,"Nosara, Costa Rica","Nosara, Costa Rica",NA,NA,"http://www.ticotimes.net/2017/01/21/photos-nosara-marches-trump"
"Oaxaca de Juarez","","Mexico","750","3,000","","","Source 1 :  eyewitness","Source 2",NA,"Oaxaca de Juarez, Mexico","Oaxaca de Juarez, Mexico",NA,"https://oaxaca.quadratin.com.mx/marchan-oaxaca-fascismo-xenofobia-racismo-trump-2/",NA
"Okarito","","New Zealand","12","12","","","Source 1 :  Eyewitness report",NA,NA,"Okarito, New Zealand","Okarito, New Zealand",NA,NA,NA
"Oranjestad","","Aruba","1","1","","","Source 1",NA,NA,"Oranjestad, Aruba","Oranjestad, Aruba",NA,NA,"https://twitter.com/rymey/status/823304054935867392"
"Osaka","","Japan","90","90","","1","Source 1 :  via email (JP)",NA,NA,"Osaka, Japan","Osaka, Japan",NA,NA,NA
"Oshakati","","Namibia","12","15","","","Source 1 :  Eyewitness on site",NA,NA,"Oshakati, Namibia","Oshakati, Namibia",NA,NA,NA
"Oslo","","Norway","2,000","3,000","","","Source 1",NA,NA,"Oslo, Norway","Oslo, Norway",NA,NA,"https://www.nrk.no/hordaland/kvinner-verden-over-marsjerte-mot-kvinnehat-1.13334314"
"Ottawa","","Canada","6,000","8,000","","","Source 1","Source 2 :  FB",NA,"Ottawa, Canada","Ottawa, Canada",NA,NA,"http://ottawacitizen.com/news/local-news/thousands-fill-streets-at-ottawa-womens-march"
"Paris","","France","2,000","12,000","","","Source 1","Source 2 :  Eyewitnesses on site","Source 3","Paris, France","Paris, France","http://www.lemonde.fr/ameriques/article/2017/01/21/manifestation-anti-trump-a-paris-j-ai-peur-qu-il-autorise-implicitement-les-hommes-a-se-comporter-comme-lui_5066781_3222.html",NA,"http://www.usatoday.com/story/news/2017/01/21/millions-turn-out-worldwide-solidarity-washington-womens-march/96880344/"
"Paradise Bay","","Antarctica","30","30","","","Source 1","Source 2",NA,"Paradise Bay, Antarctica","Paradise Bay, Antarctica",NA,"https://www.facebook.com/amightygirl/photos/a.360833590619627.72897.316489315054055/1228306067205704/?type=3&theater","http://www.independent.co.uk/news/world/americas/womens-march-antarctica-donald-trump-inauguration-women-hate-donald-trump-so-much-they-are-even-a7538856.html"
"Pender Island","","Canada","40","40","","","Source 1 :  FB",NA,NA,"Pender Island, Canada","Pender Island, Canada",NA,NA,NA
